Cell variables for frog model	SF Trinity at Sandy Bar test file		
SFR 1 Sept 2014	Elevation estimated from depth at 9.7 m3/s	Breeder-suitable from RSL 2/12/2015	Has-shelter added from RSL survey 10/22/2014
CellNum	Elevation (m)	Breeder-suitable?	Has-shelter?
156	148.0019989	0	0
157	148.0019989	0	0
158	148.0019989	0	0
159	148.0019989	0	0
160	148.0019989	0	0
161	148.0019989	0	0
162	148.0019989	0	0
163	148.0019989	0	0
164	148.0019989	0	0
165	148.0019989	0	0
166	148.0019989	0	0
167	148.0019989	0	0
168	148.0019989	0	0
169	148.0019989	0	0
170	148.0019989	0	0
171	148.0019989	0	0
172	148.0019989	0	0
173	148.0019989	0	0
174	148.0019989	0	0
175	148.0019989	0	0
176	148.0019989	0	0
177	148.0019989	0	0
178	148.0019989	0	0
179	148.0019989	0	0
180	148.0019989	0	0
181	148.0019989	0	0
182	148.0019989	0	0
183	148.0019989	0	0
184	148.0019989	0	0
185	148.0019989	0	0
186	148.0019989	0	0
187	148.0019989	0	0
188	148.0019989	0	0
189	148.0019989	0	0
190	148.0019989	0	0
191	148.0019989	0	0
581	148.0019989	0	0
582	148.0019989	0	0
583	148.0019989	0	0
584	148.0019989	0	0
585	148.0019989	0	0
586	148.0019989	0	0
587	148.0019989	0	0
588	148.0019989	0	0
589	148.0019989	0	0
590	148.0019989	0	0
591	148.0019989	0	0
592	148.0019989	0	0
593	148.0019989	0	0
594	148.0019989	0	0
595	148.0019989	0	0
596	148.0019989	0	0
597	148.0019989	0	0
598	148.0019989	0	0
599	148.0019989	0	0
600	148.0019989	0	0
601	148.0019989	0	0
602	148.0019989	0	0
603	148.0019989	0	0
604	148.0019989	0	0
605	148.0019989	0	0
606	148.0019989	0	0
607	148.0019989	0	0
608	148.0019989	0	0
609	148.0019989	0	0
610	148.0019989	0	0
611	148.0019989	0	0
612	148.0019989	0	0
613	148.0019989	0	0
614	148.0019989	0	0
615	148.0019989	0	0
616	148.0019989	0	0
617	148.0019989	0	0
618	148.0019989	0	0
619	148.0019989	0	0
620	148.0019989	0	0
621	148.0019989	0	0
622	148.0019989	0	0
623	148.0019989	0	0
624	148.0019989	0	0
625	148.0019989	0	0
626	148.0019989	0	0
627	148.0019989	0	0
628	148.0019989	0	0
629	148.0019989	0	0
1008	148.0019989	0	0
1009	148.0019989	0	0
1010	148.0019989	0	0
1011	148.0019989	0	0
1012	148.0019989	0	0
1013	148.0019989	0	0
1014	148.0019989	0	0
1015	148.0019989	0	0
1016	148.0019989	0	0
1017	148.0019989	0	0
1018	148.0019989	0	0
1019	148.0019989	0	0
1020	148.0019989	0	0
1021	148.0019989	0	0
1022	148.0019989	0	0
1023	148.0019989	0	0
1024	148.0019989	0	0
1025	148.0019989	0	0
1026	148.0019989	0	0
1027	148.0019989	0	0
1028	148.0019989	0	0
1029	148.0019989	0	0
1030	148.0019989	0	0
1031	148.0019989	0	0
1032	148.0019989	0	0
1033	148.0019989	0	0
1034	148.0019989	0	0
1035	148.0019989	0	0
1036	148.0019989	0	0
1037	148.0019989	0	0
1038	148.0019989	0	0
1039	148.0019989	0	0
1040	148.0019989	0	0
1041	148.0019989	0	0
1042	148.0019989	0	0
1043	148.0019989	0	0
1044	148.0019989	0	0
1045	148.0019989	0	0
1046	148.0019989	0	0
1047	148.0019989	0	0
1048	148.0019989	0	0
1049	148.0019989	0	0
1050	148.0019989	0	0
1051	148.0019989	0	0
1052	148.0019989	0	0
1053	148.0019989	0	0
1054	148.0019989	0	0
1055	148.0019989	0	0
1056	148.0019989	0	0
1057	148.0019989	0	0
1058	148.0019989	0	0
1059	148.0019989	0	0
1060	148.0019989	0	0
1061	148.0019989	0	0
1062	148.0019989	0	0
1063	148.0019989	0	0
1064	148.0019989	0	0
1065	148.0019989	0	0
1066	148.0019989	0	0
1434	148.0019989	0	0
1435	148.0019989	0	0
1436	148.0019989	0	0
1437	148.0019989	0	0
1438	148.0019989	0	0
1439	148.0019989	0	0
1440	148.0019989	0	0
1441	148.0019989	0	0
1442	148.0019989	0	0
1443	148.0019989	0	0
1444	148.0019989	0	0
1445	148.0019989	0	0
1446	148.0019989	0	0
1447	148.0019989	0	0
1448	148.0019989	0	0
1449	148.0019989	0	0
1450	148.0019989	0	0
1451	148.0019989	0	0
1452	148.0019989	0	0
1453	148.0019989	0	0
1454	148.0019989	0	0
1455	148.0019989	0	0
1456	148.0019989	0	0
1457	148.0019989	0	0
1458	148.0019989	0	0
1459	148.0019989	0	0
1460	148.0019989	0	0
1461	148.0019989	0	0
1462	148.0019989	0	0
1463	148.0019989	0	0
1464	148.0019989	0	0
1465	148.0019989	0	0
1466	148.0019989	0	0
1467	148.0019989	0	0
1468	148.0019989	0	0
1469	148.0019989	0	0
1470	148.0019989	0	0
1471	148.0019989	0	0
1472	148.0019989	0	0
1473	148.0019989	0	0
1474	148.0019989	0	0
1475	148.0019989	0	0
1476	148.0019989	0	0
1477	148.0019989	0	0
1478	148.0019989	0	0
1479	148.0019989	0	0
1480	148.0019989	0	0
1481	148.0019989	0	0
1482	148.0019989	0	0
1483	148.0019989	0	0
1484	148.0019989	0	0
1485	148.0019989	0	0
1486	148.0019989	0	0
1487	148.0019989	0	0
1488	148.0019989	0	0
1489	148.0019989	0	0
1490	148.0019989	0	0
1491	148.0019989	0	0
1492	148.0019989	0	0
1493	148.0019989	0	0
1494	148.0019989	0	0
1495	148.0019989	0	0
1496	148.0019989	0	0
1497	148.0019989	0	0
1498	148.0019989	0	0
1499	148.0019989	0	0
1500	148.0019989	0	0
1501	148.0019989	0	0
1502	148.0019989	0	0
1503	148.0019989	0	0
1504	148.0019989	0	0
1860	148.0019989	0	0
1861	148.0019989	0	0
1862	148.0019989	0	0
1863	148.0019989	0	0
1864	148.0019989	0	0
1865	148.0019989	0	0
1866	148.0019989	0	0
1867	148.0019989	0	0
1868	148.0019989	0	0
1869	148.0019989	0	0
1870	148.0019989	0	0
1871	148.0019989	0	0
1872	148.0019989	0	0
1873	148.0019989	0	0
1874	148.0019989	0	0
1875	148.0019989	0	0
1876	148.0019989	0	0
1877	148.0019989	0	0
1878	148.0019989	0	0
1879	148.0019989	0	0
1880	148.0019989	0	0
1881	148.0019989	0	0
1882	148.0019989	0	0
1883	148.0019989	0	0
1884	148.0019989	0	0
1885	148.0019989	0	0
1886	148.0019989	0	0
1887	148.0019989	0	0
1888	148.0019989	0	0
1889	148.0019989	0	0
1890	148.0019989	0	0
1891	148.0019989	0	0
1892	148.0019989	0	0
1893	148.0019989	0	0
1894	148.0019989	0	0
1895	148.0019989	0	0
1896	148.0019989	0	0
1897	148.0019989	0	0
1898	148.0019989	0	0
1899	148.0019989	0	0
1900	148.0019989	0	0
1901	148.0019989	0	0
1902	148.0019989	0	0
1903	148.0019989	0	0
1904	148.0019989	0	0
1905	148.0019989	0	0
1906	148.0019989	0	0
1907	148.0019989	0	0
1908	148.0019989	0	0
1909	148.0019989	0	0
1910	148.0019989	0	0
1911	148.0019989	0	0
1912	148.0019989	0	0
1913	148.0019989	0	0
1914	148.0019989	0	0
1915	148.0019989	0	0
1916	148.0019989	0	0
1917	148.0019989	0	0
1918	148.0019989	0	0
1919	148.0019989	0	0
1920	148.0019989	0	0
1921	148.0019989	0	0
1922	148.0019989	0	0
1923	148.0019989	0	0
1924	148.0019989	0	0
1925	148.0019989	0	0
1926	148.0019989	0	0
1927	148.0019989	0	0
1928	148.0019989	0	0
1929	148.0019989	0	0
1930	148.0019989	0	0
1931	148.0019989	0	0
1932	148.0019989	0	0
