Geometry file for SF Trinity at Sandy Bar
1-m grid from MML	1-Sep-14
CellNo	x	y
156	1864805	672968
157	1864806	672968
158	1864807	672968
159	1864808	672968
160	1864809	672968
161	1864810	672968
162	1864811	672968
163	1864812	672968
164	1864813	672968
165	1864814	672968
166	1864815	672968
167	1864816	672968
168	1864817	672968
169	1864818	672968
170	1864819	672968
171	1864820	672968
172	1864821	672968
173	1864822	672968
174	1864823	672968
175	1864824	672968
176	1864825	672968
177	1864826	672968
178	1864827	672968
179	1864828	672968
180	1864829	672968
181	1864830	672968
182	1864831	672968
183	1864832	672968
184	1864833	672968
185	1864834	672968
186	1864835	672968
187	1864836	672968
188	1864837	672968
189	1864838	672968
190	1864839	672968
191	1864840	672968
581	1864798	672969
582	1864799	672969
583	1864800	672969
584	1864801	672969
585	1864802	672969
586	1864803	672969
587	1864804	672969
588	1864805	672969
589	1864806	672969
590	1864807	672969
591	1864808	672969
592	1864809	672969
593	1864810	672969
594	1864811	672969
595	1864812	672969
596	1864813	672969
597	1864814	672969
598	1864815	672969
599	1864816	672969
600	1864817	672969
601	1864818	672969
602	1864819	672969
603	1864820	672969
604	1864821	672969
605	1864822	672969
606	1864823	672969
607	1864824	672969
608	1864825	672969
609	1864826	672969
610	1864827	672969
611	1864828	672969
612	1864829	672969
613	1864830	672969
614	1864831	672969
615	1864832	672969
616	1864833	672969
617	1864834	672969
618	1864835	672969
619	1864836	672969
620	1864837	672969
621	1864838	672969
622	1864839	672969
623	1864840	672969
624	1864841	672969
625	1864842	672969
626	1864843	672969
627	1864844	672969
628	1864845	672969
629	1864846	672969
1008	1864793	672970
1009	1864794	672970
1010	1864795	672970
1011	1864796	672970
1012	1864797	672970
1013	1864798	672970
1014	1864799	672970
1015	1864800	672970
1016	1864801	672970
1017	1864802	672970
1018	1864803	672970
1019	1864804	672970
1020	1864805	672970
1021	1864806	672970
1022	1864807	672970
1023	1864808	672970
1024	1864809	672970
1025	1864810	672970
1026	1864811	672970
1027	1864812	672970
1028	1864813	672970
1029	1864814	672970
1030	1864815	672970
1031	1864816	672970
1032	1864817	672970
1033	1864818	672970
1034	1864819	672970
1035	1864820	672970
1036	1864821	672970
1037	1864822	672970
1038	1864823	672970
1039	1864824	672970
1040	1864825	672970
1041	1864826	672970
1042	1864827	672970
1043	1864828	672970
1044	1864829	672970
1045	1864830	672970
1046	1864831	672970
1047	1864832	672970
1048	1864833	672970
1049	1864834	672970
1050	1864835	672970
1051	1864836	672970
1052	1864837	672970
1053	1864838	672970
1054	1864839	672970
1055	1864840	672970
1056	1864841	672970
1057	1864842	672970
1058	1864843	672970
1059	1864844	672970
1060	1864845	672970
1061	1864846	672970
1062	1864847	672970
1063	1864848	672970
1064	1864849	672970
1065	1864850	672970
1066	1864851	672970
1434	1864787	672971
1435	1864788	672971
1436	1864789	672971
1437	1864790	672971
1438	1864791	672971
1439	1864792	672971
1440	1864793	672971
1441	1864794	672971
1442	1864795	672971
1443	1864796	672971
1444	1864797	672971
1445	1864798	672971
1446	1864799	672971
1447	1864800	672971
1448	1864801	672971
1449	1864802	672971
1450	1864803	672971
1451	1864804	672971
1452	1864805	672971
1453	1864806	672971
1454	1864807	672971
1455	1864808	672971
1456	1864809	672971
1457	1864810	672971
1458	1864811	672971
1459	1864812	672971
1460	1864813	672971
1461	1864814	672971
1462	1864815	672971
1463	1864816	672971
1464	1864817	672971
1465	1864818	672971
1466	1864819	672971
1467	1864820	672971
1468	1864821	672971
1469	1864822	672971
1470	1864823	672971
1471	1864824	672971
1472	1864825	672971
1473	1864826	672971
1474	1864827	672971
1475	1864828	672971
1476	1864829	672971
1477	1864830	672971
1478	1864831	672971
1479	1864832	672971
1480	1864833	672971
1481	1864834	672971
1482	1864835	672971
1483	1864836	672971
1484	1864837	672971
1485	1864838	672971
1486	1864839	672971
1487	1864840	672971
1488	1864841	672971
1489	1864842	672971
1490	1864843	672971
1491	1864844	672971
1492	1864845	672971
1493	1864846	672971
1494	1864847	672971
1495	1864848	672971
1496	1864849	672971
1497	1864850	672971
1498	1864851	672971
1499	1864852	672971
1500	1864853	672971
1501	1864854	672971
1502	1864855	672971
1503	1864856	672971
1504	1864857	672971
1860	1864781	672972
1861	1864782	672972
1862	1864783	672972
1863	1864784	672972
1864	1864785	672972
1865	1864786	672972
1866	1864787	672972
1867	1864788	672972
1868	1864789	672972
1869	1864790	672972
1870	1864791	672972
1871	1864792	672972
1872	1864793	672972
1873	1864794	672972
1874	1864795	672972
1875	1864796	672972
1876	1864797	672972
1877	1864798	672972
1878	1864799	672972
1879	1864800	672972
1880	1864801	672972
1881	1864802	672972
1882	1864803	672972
1883	1864804	672972
1884	1864805	672972
1885	1864806	672972
1886	1864807	672972
1887	1864808	672972
1888	1864809	672972
1889	1864810	672972
1890	1864811	672972
1891	1864812	672972
1892	1864813	672972
1893	1864814	672972
1894	1864815	672972
1895	1864816	672972
1896	1864817	672972
1897	1864818	672972
1898	1864819	672972
1899	1864820	672972
1900	1864821	672972
1901	1864822	672972
1902	1864823	672972
1903	1864824	672972
1904	1864825	672972
1905	1864826	672972
1906	1864827	672972
1907	1864828	672972
1908	1864829	672972
1909	1864830	672972
1910	1864831	672972
1911	1864832	672972
1912	1864833	672972
1913	1864834	672972
1914	1864835	672972
1915	1864836	672972
1916	1864837	672972
1917	1864838	672972
1918	1864839	672972
1919	1864840	672972
1920	1864841	672972
1921	1864842	672972
1922	1864843	672972
1923	1864844	672972
1924	1864845	672972
1925	1864846	672972
1926	1864847	672972
1927	1864848	672972
1928	1864849	672972
1929	1864850	672972
1930	1864851	672972
1931	1864852	672972
1932	1864853	672972
1933	1864854	672972
1934	1864855	672972
1935	1864856	672972
1936	1864857	672972
1937	1864858	672972
1938	1864859	672972
1939	1864860	672972
1940	1864861	672972
