ID_ID,SOC

1,RED

2,UNOCCUPIED

3,BLUE

4,RED

5,BLUE

6,RED

7,UNOCCUPIED

8,BLUE

9,RED

10,BLUE

11,RED

12,UNOCCUPIED

13,BLUE

14,RED

15,BLUE

16,RED

17,UNOCCUPIED

18,BLUE

19,RED

20,BLUE

21,RED

22,UNOCCUPIED

23,BLUE

24,RED

25,BLUE

26,RED

27,UNOCCUPIED

28,BLUE

29,RED

30,BLUE

31,RED

32,UNOCCUPIED

33,BLUE

34,RED

35,BLUE

36,RED

37,UNOCCUPIED

38,BLUE

39,RED

40,BLUE

41,RED

42,UNOCCUPIED

43,BLUE

44,RED

45,BLUE

46,RED

47,UNOCCUPIED

48,BLUE

49,RED

50,BLUE

51,RED

52,UNOCCUPIED

53,BLUE

54,RED

55,BLUE

56,RED

57,UNOCCUPIED

58,BLUE

59,RED

60,BLUE

61,RED

62,UNOCCUPIED

63,BLUE

64,RED

65,BLUE

66,RED

67,UNOCCUPIED

68,BLUE

69,RED

70,BLUE

71,RED

72,UNOCCUPIED

73,BLUE

74,RED

75,BLUE

76,RED

77,UNOCCUPIED

78,BLUE

79,RED

80,BLUE

81,RED

82,UNOCCUPIED

83,BLUE

84,RED

85,BLUE

86,RED

87,UNOCCUPIED

88,BLUE

89,RED

90,BLUE

91,RED

92,UNOCCUPIED

93,BLUE

94,RED

95,BLUE

96,RED

97,UNOCCUPIED

98,BLUE

99,RED

100,BLUE

101,RED

102,UNOCCUPIED

103,BLUE

104,RED

105,BLUE

106,RED

107,UNOCCUPIED

108,BLUE

109,RED

110,BLUE

111,RED

112,UNOCCUPIED

113,BLUE

114,RED

115,BLUE

116,RED

117,UNOCCUPIED

118,BLUE

119,RED

120,BLUE

121,RED

122,UNOCCUPIED

123,BLUE

124,RED

125,BLUE

126,RED

127,UNOCCUPIED

128,BLUE

129,RED

130,BLUE

131,RED

132,UNOCCUPIED

133,BLUE

134,RED

135,BLUE

136,RED

137,UNOCCUPIED

138,BLUE

139,RED

140,BLUE

141,RED

142,UNOCCUPIED

143,BLUE

144,RED

145,BLUE

146,RED

147,UNOCCUPIED

148,BLUE

149,RED

150,BLUE

151,RED

152,UNOCCUPIED

153,BLUE

154,RED

155,BLUE

156,RED

157,UNOCCUPIED

158,BLUE

159,RED

160,BLUE

161,RED

162,UNOCCUPIED

163,BLUE

164,RED

165,BLUE

166,RED

167,UNOCCUPIED

168,BLUE

169,RED

170,BLUE

171,RED

172,UNOCCUPIED

173,BLUE

174,RED

175,BLUE

176,RED

177,UNOCCUPIED

178,BLUE

179,RED

180,BLUE

181,RED

182,UNOCCUPIED

183,BLUE

184,RED

185,BLUE

186,RED

187,UNOCCUPIED

188,BLUE

